item_code,item_description,china_or_local,lead_time_days,total_sales,avg_daily_sales,stddev_qty,safety_stock,reorder_level,maximum_level
SUGAR BAG - B,SUGAR BAG - B,LOCAL STOCK,5,1554,12.95,22.46,83,148,329
SYW5234,"SYW 5/16""x2-3/4"" M10 ANCHOR",CHINA STOCK,45,448,3.7333,6.51,73,241,293
HG/PM-W&D SAND PAPER,W& D SAND PAPER,LOCAL STOCK,5,1182,9.85,8.29,31,80,218
"DMAX POWER FLAP DISC 4""x16","DMAX FLAP DISC 4""",CHINA STOCK,45,219,1.825,9.7,108,190,216
BATU SIMEN,BATU SIMEN - BAAGUS,LOCAL STOCK,5,592,4.9333,28.57,106,131,200
SYW33,"SYW 3/8""X3"" M12 ANCHOR",CHINA STOCK,45,176,1.4667,8.92,99,165,186
GREEN KILLER POWDER ANT KILLING BAIT 5G,POWDER ANT KILLING BAIT 5G,CHINA STOCK,45,216,1.8,3.41,38,119,144
SYW12,"SYW 1/4""x2"" M8 ANCHOR",CHINA STOCK,45,169,1.4083,3.31,37,101,120
CR-715 DOSO SUPER ALUM CURTAIN,DOSO CURTAIN TRACK,LOCAL STOCK,5,398,3.3167,13.14,49,66,112
V-TECH 502/MC-009,502 SUPER GLUE,LOCAL STOCK,5,412,3.4333,9.57,36,53,101
2503002016,"3/4"" PVC U CLIP",LOCAL STOCK,5,379,3.1583,8.45,32,47,92
"1/2"" X 90 (15MM) PVC EQUAL ELB","1/2"" PVC EQUAL ELBOW",LOCAL STOCK,5,444,3.7,5.49,21,39,91
GREEN KILLER POWDER COCKROACH KILLING BAIT 5G,G006 POWDER COCKROACH KILLING BAIT 5G,CHINA STOCK,45,121,1.0083,2.34,26,72,86
12MM DOMINO SEALING TAPE,12MM SEALING TAPE,LOCAL STOCK,5,471,3.925,2.99,12,31,86
YTL CEMENT,YTL CEMENT,LOCAL STOCK,5,448,3.7333,3.49,13,32,84
PASIR HALUS / FINE SAND,PASIR HALUS / FINE SAND,LOCAL STOCK,5,353,2.9417,6.37,24,39,80
"RELIANT RFD03100 4"" A60 METAL FLAP DISC","4"" A60 FLAP DISC",CHINA STOCK,45,54,0.45,4.57,51,71,78
25MM PPR ELBOW,25MM PPR ELBOW,CHINA STOCK,45,70,0.5833,3.77,42,68,77
MTI-023,PVC WIRE 2.5 - MTR,LOCAL STOCK,5,303,2.525,7.59,29,41,76
"#9693-1/2""","1/2"" G.I PIPE CLIP",CHINA STOCK,45,82,0.6833,2.71,30,61,71
