Date Time,Doc No,Item Code,Item Brand,Item Description,Qty,Unit Price,Gross Total,Discount Amt,Sub Total,Sub Total (ex)
1/11/2025 8:22,T01-094376,MK-HG610,,1200 COTTON GLOVES ,1,13,13,0,13,13
1/11/2025 8:27,T01-094377,FC1.5UF,,1.5UF FAN CONDENSOR,1,5.2,5.2,0,5.2,5.2
1/11/2025 8:30,T01-094378,TR841N,NIPPON PAINT ,"4"" ROLLER REFILL POLYSTER",1,2.3,2.3,0,2.3,2.3
1/11/2025 8:43,T01-094379,TOILET VACUUM PUMP R/B,,TOILET VACUUM PUMP RED/BLACK,1,18.5,18.5,0,18.5,18.5
1/11/2025 8:48,T01-094380,LSH,PROGUARD,SIRIM SAFETY HELMET COLOR,1,14.9,14.9,0,14.9,14.9
1/11/2025 8:48,T01-094380,ELASTIC SAFETY VEST BELT,CHINA STOCK,REFLECTIC SAFETY BELT ORG/GRN,1,7.9,7.9,0,7.9,7.9
1/11/2025 9:07,T01-094381,3122V50,,V50 4' COTON MOP,1,13,13,0,13,13
1/11/2025 9:09,T01-094382,DS-8 500G DONGSHAN PLUMB BOB,CHINA STOCK,500G PLUMB BOB,4,10.9,43.6,0,43.6,43.6
1/11/2025 9:09,T01-094382,50MMx20M BLK/YLW ANTI SLIP TAPE,CHINA STOCK,"2""x20M ANTI SLIP TAPE(BLK/YLW)",1,79.9,79.9,0,79.9,79.9
1/11/2025 9:13,T01-094383,AM,,M 13A ADAPTOR,3,4,12,0,12,12
1/11/2025 9:13,T01-094383,SRBB03,,"1/8""x1/2"" R.HEAD SCREW",2,3,6,0,6,6
1/11/2025 9:13,T01-094383,"2"" LONG CEILING-IN TYPE 2 HOLE FAN HOOK (122)",,"2"" 122 U FAN HOOK",2,4.5,9,0,9,9
1/11/2025 9:16,T01-094384,SODA POWDER,,SODA POWDER 100G,2,5,10,0,10,10
1/11/2025 9:16,T01-094384,SUPER CLOG DRAIN CLEANER 900ML,,SUPER CLOG REMOVER 900ML,1,25.9,25.9,0,25.9,25.9
1/11/2025 9:17,T01-094385,"3/4"" ABS ELBOW",,"3/4"" ABS ELBOW",5,3.2,16,0,16,16
1/11/2025 9:17,T01-094385,"3/4"" ABS TEE",,"3/4"" ABS TEE",4,3,12,0,12,12
1/11/2025 9:17,T01-094385,LCRSC18MM,,"3/4"" ROUND HDL S/COCK",1,69,69,0,69,69
1/11/2025 9:17,T01-094385,B-BOND 100G ABS SOLVENT GLUE,,B-BOND ABS (GLUE) 100G,1,7.5,7.5,0,7.5,7.5
1/11/2025 9:17,T01-094385,"3/4"" (20MM) PVC P/T ELBOW",,"3/4"" PVC P/T ELBOW",5,1.7,8.5,0,8.5,8.5
1/11/2025 9:17,T01-094385,"3/4"" ABS VALVE SOCKET",,"3/4"" ABS VALVE SOCKET",2,3,6,0,6,6
1/11/2025 9:17,T01-094385,DH-1010 7.5M,CHINA STOCK,DUHENG MAX MEASURING TAPE 7.5M,1,15.9,15.9,0,15.9,15.9
1/11/2025 9:17,T01-094385,12MM X 15M VOLLA SEAL TAPE,,12MMx15M SEALING TAPE,3,1.8,5.4,0,5.4,5.4
1/11/2025 9:17,T01-094385,12MM DOMINO SEALING TAPE,,12MM SEALING TAPE,1,0.7,0.7,0,0.7,0.7
1/11/2025 9:17,T01-094385,15HX250M BULL POINT CHISEL,,15Hx250MM CHISEL POINT,1,6.5,6.5,0,6.5,6.5
1/11/2025 9:17,T01-094385,"3/4"" (20MM) ABS CLASS E",,"3/4"" ABS CLASS E PIPE",1,38,38,0,38,38
